MOLREGNO,SMILES,MOST_ACIDIC,MOST_BASIC,TRADE_NAME,CHARGE_STATE,Name,CX_Acidic_1,CX_Acidic_2,CX_Basic_1,CX_Basic_2,Delta Acidic,Delta Basic,N_Count,O_Count,Organic
674399,[Na+].[Na+].OP(=O)([O-])C(Sc1ccc(Cl)cc1)P(=O)(O)[O-],0.45,,SKELID,Charged,674399,1.03,1.78,,,-0.58,,0.0,6.0,True
674400,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(=O)C,11.21,,ARISTOCORT,Neutral,674400,,,,,,,0.0,8.0,True
674401,Cl.Cc1ccc(cc1)C(=C/CN2CCCC2)c3ccccn3,,8.99,ACTAHIST,Charged,674401,,,8.64,,,0.35,2.0,0.0,True
674404,CCCCCCCCCCCCCCCCCCCCCCO,,,ABREVA,Neutral,674404,,,,,,,0.0,1.0,True
674405,Cl.CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2C(=O)N=C(N)Nc12,9.32,7.73,VALCYTE,Neutral,674405,,,7.36,,,0.37,6.0,5.0,True
674406,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,11.35,,OMNIPAQUE 140,Neutral,674406,,,,,,,3.0,9.0,True
674407,O.[Mg+2].[O-]S(=O)(=O)[O-],,,ELLIOTTS B SOLUTION,Neutral,674407,-3.03,1.9,,,,,0.0,5.0,False
674409,[K+].[K+].[K+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],,,POTASSIUM CITRATE,Neutral,674409,3.05,4.67,,,,,0.0,7.0,True
674410,[K+].[K+].OP(=O)([O-])[O-],,,AMINOSYN 7% W/ ELECTROLYTES,Neutral,674410,1.8,6.95,,,,,0.0,4.0,False
674412,Cl.COc1ccc(OC)c(c1)C(O)CNC(=O)CN,13.47,7.75,MIDODRINE HYDROCHLORIDE,Neutral,674412,,,8.14,,,-0.39,2.0,4.0,True
674414,[K+].[O-]C(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3,4.28,0.8,DAYPRO ALTA,Charged,674414,4.95,,,,-0.67,,1.0,3.0,True
674415,Cl.CCCOc1ccc(cc1N)C(=O)OCCN(CC)CC,,9.2,ALCAINE,Charged,674415,,,8.96,,,0.24,2.0,3.0,True
674418,OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3.OC(=O)c4cc5ccccc5c(Cc6c(O)c(cc7ccccc67)C(=O)O)c4O,,6.62,HY-PAM "25",Neutral,674418,2.38,2.98,,,,,2.0,8.0,True
674419,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,,,MALATHION,Neutral,674419,,,,,,,0.0,6.0,True
674420,Cl.CN(C)CCCN1c2ccccc2Sc3ccccc13,,9.43,PROMAZINE HYDROCHLORIDE,Charged,674420,,,9.2,,,0.23,2.0,0.0,True
674421,[Na+].COc1ccc2[n-]c(nc2c1)[S+]([O-])Cc3ncc(C)c(OC)c3C,6.86,3.08,ESOMEPRAZOLE SODIUM,Neutral,674421,,,,,,,3.0,3.0,True
674422,[Zn+2].[O-][n+]1ccccc1[S-].[O-][n+]2ccccc2[S-],5.41,,HEAD & SHOULDERS CONDITIONER,Charged,674422,4.84,,,,0.57,,2.0,2.0,True
674423,Fc1ccccc1C2=NCC(=S)N(CC(F)(F)F)c3ccc(Cl)cc23,,0.49,DORAL,Neutral,674423,,,,,,,2.0,0.0,True
674424,Cl.CN(C)CCOC(=O)C(c1ccccc1)C2(O)CCCC2,,8.22,AK-PENTOLATE,Charged,674424,,,8.42,,,-0.2,1.0,3.0,True
674425,Cl.CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N,4.5,11.0,DECLOMYCIN,Charged,674425,2.6,,8.54,,1.9,2.46,2.0,8.0,True
674426,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C.OC(=O)CC(O)(CC(=O)O)C(=O)O,7.39,8.68,DAUNOXOME,Charged,674426,,,9.17,,,-0.49,1.0,17.0,True
674428,[Na+].O=C1[N-]C=Nc2[nH]ncc12,,4.56,ALLOPURINOL SODIUM,Neutral,674428,,,,,,,4.0,1.0,True
674429,Cl.CCCCOc1ccc(cc1)C(=O)CCN2CCCCC2,,8.68,DYCLONE,Charged,674429,,,8.36,,,0.32,1.0,2.0,True
674430,Cl.CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,,9.24,BENTYL,Charged,674430,,,8.96,,,0.28,1.0,2.0,True
674433,[Na+].CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)[O-])CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,2.62,0.67,CEFOBID,Charged,674433,3.38,,,,-0.76,,9.0,8.0,True
674434,Cl.CC1NCCOC1c2ccccc2,,8.58,PRELUDIN,Charged,674434,,,8.22,,,0.36,1.0,1.0,True
674436,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1.Cc4ccc(cc4)S(=O)(=O)O,12.89,2.66,NEXAVAR,Neutral,674436,,,,,,,4.0,6.0,True
674438,[Na+].CCC(=C)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,2.81,,EDECRIN,Charged,674438,2.8,,,,0.01,,0.0,4.0,True
674442,Cl.NC1=NCC2N1c3ccccc3Cc4ccccc24,,11.98,ELESTAT,Charged,674442,,,8.77,,,3.21,3.0,0.0,True
674443,Cl.CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4,,7.65,NEFAZODONE HYDROCHLORIDE,Neutral,674443,,,7.09,,,0.56,5.0,2.0,True
674444,Cl.CN(CC=Cc1ccccc1)Cc2cccc3ccccc23,,7.99,NAFTIN,Neutral,674444,,,9.08,,,-1.09,1.0,0.0,True
674445,Cl.NC(=N)NC(=O)Cc1c(Cl)cccc1Cl,11.07,7.34,GUANFACINE HYDROCHLORIDE,Neutral,674445,,,,,,,3.0,1.0,True
674446,[Na+].C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)COC(=O)CCC(=O)[O-])[C@@]4(C)C[C@H](O)[C@H]23,4.29,,A-HYDROCORT,Charged,674446,3.66,,,,0.63,,0.0,8.0,True
674448,CC(O)C(=O)O.CN1CCN(CC1)C(c2ccccc2)c3ccccc3,,7.5,MAREZINE,Neutral,674448,,,8.51,,,-1.01,2.0,3.0,True
674449,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(C[C@H]12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F.CS(=O)(=O)O,5.8,8.13,TROVAN PRESERVATIVE FREE,Charged,674449,5.41,,8.09,,0.39,0.04,6.0,8.0,True
674451,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,13.02,,BECLOVENT,Neutral,674451,,,,,,,0.0,7.0,True
674454,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C.CS(=O)(=O)O,9.6,6.44,BROMOCRIPTINE MESYLATE,Neutral,674454,,,,,,,5.0,8.0,True
674455,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC(=O)c1c(I)cc(I)c(NC(=O)CCCCC(=O)Nc2c(I)cc(I)c(C(=O)O)c2I)c1I,,,CHOLOGRAFIN MEGLUMINE,Neutral,674455,2.03,2.63,,,,,3.0,11.0,True
674456,CC[C@H]1OC(=O)[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]4N[C@@H](COCCOC)O[C@H]([C@H]4C)[C@]1(C)O,12.94,8.16,DYNABAC,Charged,674456,,,9.13,8.09,,-0.97,2.0,14.0,True
674457,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.OC[C@@H](O)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@@H](O)C(=O)O,13.09,8.16,ERYTHROCIN,Charged,674457,,,8.38,,,-0.22,1.0,25.0,True
674459,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC(=O)c1c(I)c(N(C)C(=O)C)c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c1I,,,HEXABRIX,Neutral,674459,2.13,,,,,,6.0,13.0,True
674461,CCCCCCCCCCCCCCCCCC(=O)O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,13.09,8.16,BRISTAMYCIN,Charged,674461,,,8.38,,,-0.22,1.0,15.0,True
674463,O.Cl.CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4,11.2,9.33,CAMPTOSAR,Charged,674463,,,9.47,,,-0.14,4.0,7.0,True
674465,[Br-].[Br-].CN(CCCCCCCCCCN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C)C(=O)Oc2cccc(c2)[N+](C)(C)C,,,HUMORSOL,Neutral,674465,,,,,,,4.0,4.0,True
674466,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,,7.7,ENDURONYL,Neutral,674466,,,7.42,,,0.28,2.0,8.0,True
674468,CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O.CS(=O)(=O)O,9.64,7.22,D.H.E. 45,Neutral,674468,,,8.39,,,-1.17,5.0,8.0,True
674469,NC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O.OS(=O)(=O)O,12.93,9.52,HUMATIN,Charged,674469,,,9.94,8.96,,-0.42,5.0,18.0,True
674470,CCC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1.OC(=O)C=C/C(=O)O,,7.39,PROKETAZINE,Neutral,674470,,,8.07,,,-0.68,3.0,6.0,True
674472,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.OC(CC(=O)O)C(=O)O,,9.48,AXERT,Charged,674472,,,9.55,,,-0.07,3.0,7.0,True
674473,COc1ccc(cc1)C(=O)CC(=O)c2ccc(cc2)C(C)(C)C,9.74,,ANTHELIOS 20,Neutral,674473,,,,,,,0.0,3.0,True
674474,[Na+].Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)[O-])s1,2.6,0.45,ANCEF,Charged,674474,3.03,,,,-0.43,,8.0,4.0,True
674478,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC.[O-]S(=O)(=O)c7ccccc7.[O-]S(=O)(=O)c8ccccc8,,,ATRACURIUM BESYLATE,Neutral,674478,,,,,,,2.0,18.0,True
674481,[Na+].CO[C@]1(NC(=O)Cc2cccs2)[C@H]3SCC(=C(N3C1=O)C(=O)[O-])COC(=O)N,2.63,,CEFOXITIN,Charged,674481,3.59,,,,-0.96,,3.0,7.0,True
674482,Cl.CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O,,7.82,ALFENTA,Neutral,674482,,,7.5,,,0.32,6.0,3.0,True
674483,Cl.CN1CCC(CN2c3ccccc3Sc4ccccc24)C1,,10.1,METHDILAZINE HYDROCHLORIDE,Charged,674483,,,8.81,,,1.29,2.0,0.0,True
674485,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3cc(OC)c(OC)cc3C[C@H]2C(=O)O,2.94,5.28,MOEXIPRIL HYDROCHLORIDE,Charged,674485,3.46,,,,-0.52,,2.0,7.0,True
674489,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C,12.08,,BETAMETHASONE ACETATE AND BETAMETHASONE SODIUM PHOSPHATE,Neutral,674489,,,,,,,0.0,6.0,True
674490,[Ca+2].[O-]C(=O)[O-],,,ACTONEL WITH CALCIUM (COPACKAGED),Neutral,674490,6.05,,,,,,0.0,3.0,True
674491,CN1CCC(=C2c3ccccc3CCc4cccnc24)CC1.OC(=O)C=C/C(=O)O,,8.74,OPTIMINE,Charged,674491,,,7.91,,,0.83,2.0,4.0,True
674492,[Cl-].[Cl-].CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl,11.09,,MYTELASE,Neutral,674492,,,,,,,4.0,2.0,True
674493,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,DOCA,Neutral,674493,,,,,,,0.0,4.0,True
674494,CCOC(=O)C1(CCN(CCc2ccc(N)cc2)CC1)c3ccccc3.OP(=O)(O)O,,8.41,LERITINE,Charged,674494,,,8.88,,,-0.47,2.0,6.0,True
674495,O.CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O,3.12,6.84,CEPHALEXIN,Charged,674495,3.45,,7.44,,-0.33,-0.6,3.0,5.0,True
674496,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C)C(=O)COC(=O)C,12.63,,DIFLORASONE DIACETATE,Neutral,674496,,,,,,,0.0,7.0,True
674498,O.[Mg+2].[Cl-].[Cl-],,,AMINOSYN 7% W/ ELECTROLYTES,Neutral,674498,,,,,,,0.0,1.0,False
674500,[Br-].CCC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(=O)C)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCCCC5)[N+]6(CC=C)CCCCC6,,8.84,RAPLON,Charged,674500,,,9.65,,,-0.81,2.0,4.0,True
674501,OP(=O)(O)O.C(N(Cc1ccccc1)c2ccccc2)C3=NCCN3,,10.29,VASOCON-A,Charged,674501,,,9.24,,,1.05,3.0,4.0,True
674510,CC(O)C(=O)O,3.91,,PRISMASOL B22GK 2/0 IN PLASTIC CONTAINER,Charged,674510,3.78,,,,0.13,,0.0,3.0,True
674511,CC(=O)O.NC(=N)NN=Cc1c(Cl)cccc1Cl,,8.17,GUANABENZ ACETATE,Charged,674511,,,8.18,,,-0.01,4.0,2.0,True
674512,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4.CS(=O)(=O)O,,6.52,CARDURA,Neutral,674512,,,7.24,,,-0.72,5.0,8.0,True
674513,CCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)CO,12.98,,HYDROCORTISONE VALERATE,Neutral,674513,,,,,,,0.0,6.0,True
674514,[Na+].COCc1c(nc(C(C)C)c(C=C[C@@H](O)C[C@@H](O)CC(=O)[O-])c1c2ccc(F)cc2)C(C)C,4.24,5.61,BAYCOL,Charged,674514,4.05,,,,0.19,,1.0,5.0,True
674515,CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1.OC(=O)C=CC(=O)O,8.54,9.95,CORVERT,Charged,674515,,,10.4,,,-0.45,2.0,7.0,True
674518,O.Cl.CCO.C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O,4.5,10.84,ATRIDOX,Charged,674518,2.93,,7.46,,1.57,3.38,2.0,10.0,True
674519,[Mg+2].[O-][Si](=O)[O-],,,SCLEROSOL,Neutral,674519,2.7,,,,,,0.0,3.0,False
674520,CN1C(=O)N(C)c2ncn(C)c2C1=O.OC(=O)CC(O)(CC(=O)O)C(=O)O,,0.52,CAFCIT,Neutral,674520,,,,,,,4.0,9.0,True
674521,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,13.47,9.17,ISOPAQUE 280,Charged,674521,,,9.11,,,0.06,1.0,5.0,True
674523,O=[Mg],,,IRRIGATING SOLUTION G IN PLASTIC CONTAINER,Neutral,674523,,,,,,,0.0,1.0,False
674525,[Na+].[Cl-],,,ACETATED RINGER'S IN PLASTIC CONTAINER,Neutral,674525,3.09,3.55,,,,,0.0,0.0,False
674529,[Na+].CN1C(=O)N(C)c2nc[nH]c2C1=O.NCC(=O)[O-],,,ASBRON,Neutral,674529,,,,,,,5.0,4.0,True
674531,[Na+].[Na+].[O-]S(=O)CNc1ccc(cc1)S(=O)(=O)c2ccc(NCS(=O)[O-])cc2,2.58,0.78,DIASONE SODIUM,Charged,674531,1.7,2.3,,,0.88,,2.0,6.0,True
674532,[Na+].CC(=O)Nc1c(I)c(NC(=O)C)c(I)c(C(=O)[O-])c1I,0.92,,ANGIOVIST 292,Charged,674532,2.17,,,,-1.25,,2.0,4.0,True
674533,Cl.NCC(=O)CCC(=O)O,4.13,7.37,LEVULAN,Charged,674533,4.05,,7.84,,0.08,-0.47,1.0,3.0,True
674535,[K+].Nc1ccc(C(=O)[O-])c(O)c1,3.58,2.21,PASKALIUM,Charged,674535,3.68,,,,-0.1,,1.0,3.0,True
674536,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C(=C/O)C[C@]4(C)[C@H]3CC[C@]12C,4.5,,ANADROL-50,Charged,674536,,,,,,,0.0,3.0,True
674537,Cl.CCCNC(C)C(=O)Nc1ccccc1C,,7.95,CITANEST,Neutral,674537,,,8.82,,,-0.87,2.0,1.0,True
674538,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1.OC(=O)C=C/C(=O)O,,7.66,COMPAZINE,Neutral,674538,,,8.39,,,-0.73,3.0,4.0,True
674540,Cl.CN(C)CCn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc4csc(N)n4)C3=O)C(=O)O,2.57,8.02,CERADON,Charged,674540,2.79,,8.36,,-0.22,-0.34,9.0,4.0,True
674541,O.Cl.Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1,,6.74,ANTIVERT,Neutral,674541,,,8.16,,,-1.42,2.0,1.0,True
674543,CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,PERCORTEN,Neutral,674543,,,,,,,0.0,4.0,True
674545,NC(=N)NCC1COC2(CCCCC2)O1.OS(=O)(=O)O,,12.29,HYLOREL,Charged,674545,,,12.02,,,0.27,3.0,6.0,True
674546,Cl.CC(C)(N)Cc1ccc(Cl)cc1,,9.76,PRE-SATE,Charged,674546,,,10.24,,,-0.48,1.0,0.0,True
674547,Oc1c(Cl)cc(Cl)c2cccnc12,2.3,7.2,CAPITROL,Charged,674547,6.95,,,,-4.65,,1.0,1.0,True
674548,Cl.CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,,8.07,DURANEST,Charged,674548,,,8.59,,,-0.52,2.0,1.0,True
674549,CCC(=C(CC)/c1ccc(OP(=O)(O)O)cc1)c2ccc(OP(=O)(O)O)cc2,1.04,,STILPHOSTROL,Charged,674549,1.49,2.09,,,-0.45,,0.0,8.0,True
674550,Cl.OC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccccc4,3.55,9.14,MOTOFEN,Charged,674550,3.38,,9.41,,0.17,-0.27,2.0,2.0,True
674551,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)C)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14,12.5,,FLUOR-OP,Neutral,674551,,,,,,,0.0,4.0,True
674552,Cl.CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,11.52,9.3,AMERGE,Charged,674552,,,9.18,,,0.12,3.0,2.0,True
674553,Cl.CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13,,9.79,DALMANE,Charged,674553,,,8.71,,,1.08,3.0,1.0,True
674555,CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2,,5.32,MYDRIACYL,Neutral,674555,,,,,,,2.0,2.0,True
674556,[Cl-].OC(C(=O)OC1CC2CCC(C1)[N+]23CCCC3)(c4ccccc4)c5ccccc5,11.23,,SANCTURA,Neutral,674556,,,,,,,1.0,3.0,True
674557,Cl.CC(N)COc1c(C)cccc1C,,8.58,MEXILETINE HYDROCHLORIDE,Charged,674557,,,9.52,,,-0.94,1.0,1.0,True
674558,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,IMAGENT,Neutral,674558,,,,,,,0.0,0.0,False
674559,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1,,,SHADE UVAGUARD,Neutral,674559,,,,,,,0.0,3.0,True
674560,CS(=O)(=O)O.Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3,,9.68,PEXEVA,Charged,674560,,,9.77,,,-0.09,1.0,6.0,True
674561,O.N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Cl)c3ccccc3,3.11,6.87,LORABID,Charged,674561,3.43,,7.44,,-0.32,-0.57,3.0,5.0,True
674562,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O.OC(=O)c6ccc(cc6)C(=O)O,13.13,7.57,CODOXY,Neutral,674562,,,8.21,,,-0.64,1.0,8.0,True
674563,Cl.CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,12.9,9.07,HEAVY SOLUTION NUPERCAINE,Charged,674563,,,9.04,,,0.03,3.0,2.0,True
674564,[Na+].Cc1ccc(cc1)C(=O)c2ccc(CC(=O)[O-])n2C,4.22,,TOLECTIN,Charged,674564,3.96,,,,0.26,,1.0,3.0,True
674565,OCCN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,11.34,,OPTIRAY 160,Neutral,674565,,,,,,,3.0,9.0,True
674567,[Na+].NS(=O)(=O)c1cc2c(cc1Cl)N=C[N-]S2(=O)=O,5.95,,CHLOROTHIAZIDE SODIUM,Charged,674567,6.49,,,,-0.54,,3.0,4.0,True
674568,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,,,VEXOL,Neutral,674568,,,,,,,0.0,3.0,True
674569,Cl.CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,4.43,9.42,ALLEGRA,Charged,674569,4.04,,9.01,,0.39,0.41,1.0,4.0,True
674570,Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1.OS(=O)(=O)O,,4.86,ABACAVIR SULFATE,Neutral,674570,,,,,,,6.0,5.0,True
674572,CON=C1/CN(CC1CN)c2nc3N(C=C(C(=O)O)C(=O)c3cc2F)C4CC4.CS(=O)(=O)O,6.02,9.15,FACTIVE,Charged,674572,5.53,,9.53,,0.49,-0.38,5.0,7.0,True
674573,C[C@H](C=C[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2C(=CC=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,,,PARICALCITOL,Neutral,674573,,,,,,,0.0,3.0,True
674574,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@]12C,,,MAXIBOLIN,Neutral,674574,,,,,,,0.0,1.0,True
674575,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(=O)C)C#C)[C@@H]3CCC2=C1,,,DEMULEN 1/35-21,Neutral,674575,,,,,,,0.0,4.0,True
674576,[Cl-].[Cl-].[89Sr+2],,,METASTRON,Neutral,674576,-7.0,,,,,,0.0,0.0,False
674578,O=C1CCO1,,,BETAPRONE,Neutral,674578,,,,,,,0.0,2.0,True
674579,Cl.CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]6NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC1=O)c7ccc(O)c(c7)c8c(O)cc(O)cc8[C@H](NC6=O)C(=O)O)c3O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O[C@H]%10C[C@](C)(N)[C@H](O)[C@H](C)O%10)c(Cl)c2,,,VANCOCIN HYDROCHLORIDE,Neutral,674579,2.99,,9.93,8.3,,,9.0,24.0,True
674580,[Br-].CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(=O)C)[N+]5(C)CCCCC5)[C@@]2(C)C[C@@H]1N6CCCCC6,,8.86,NORCURON,Charged,674580,,,9.65,,,-0.79,2.0,4.0,True
674581,Cl.N[C@@H](CS)C(=O)O,2.07,11.05,CYSTEINE HYDROCHLORIDE,Charged,674581,2.35,,9.05,,-0.28,2.0,1.0,2.0,True
674582,CN(C)CCCN1c2ccccc2CCc3ccccc13.OC(=O)c4cc5ccccc5c(Cc6c(O)c(cc7ccccc67)C(=O)O)c4O,,9.49,IMIPRAMINE PAMOATE,Charged,674582,2.38,2.98,,,,,2.0,6.0,True
